,Botanical Name,Common Names,Plant Type,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Native Area,Toxicity,Family Name
266,Chelone obliqua,"Turtlehead, red turtlehead","Herbaceous, perennial","Full, partial","Rich, moist","Neutral, acidic","Summer, fall","Pink, purple, white",North America,,Plantaginaceae
267,Carex stricta,"Tussock Sedge, Upright Sedge",Rhizomatous evergreen,Full sun to part shade,Wet clay,Acidic to neutral,Late spring,Reddish brown,Eastern North America,,
269,Jeffersonia diphylla,Twinleaf,"Herbaceous perennial, native wildflower",Part shade,"Moist, humusy, well-drained, limestone",Acidic (<6.8),March or April,White,Eastern North America,,
281,Vinca minor,"Vinca minor, creeping myrtle, common periwinkle, dwarf periwinkle",Evergreen perennial,"Full, partial, shade","Loamy, sandy, clay","Acidic, neutral, alkaline","Spring, summer","Blue, lavender, purple, white",Europe,Toxic to pets,Apocynaceae/dogbane
290,Teucrium chamaedrys,Wall germander,Broadleaf evergreen,Full sun,"Dry to medium moisture, well-drained soil",6.0 to 8.0,July,Rosy lavender to pinkish purple,"Mountainous regions of southwest Asia, Northern Africa, Europe",,
300,Myrica pensylvanica,"Bayberry, northern bayberry, wax myrtle",Deciduous shrub,Full sun to part shade,"Dry to moist, well drained soil",6.0 to 7.5,May,Yellowish-green (insignificant),Eastern North America,,
302,"Prunus pendula 'Pendula Rosea' (formerly, Prunus subhirtella 'Pendula')","Weeping cherry tree, weeping Higan cherry tree","Broadleaf, deciduous tree",Full sun,"Well-drained, fertile",6.0 to 7.0,,,Species native to Japan,,Rosaceae
340,Euonymus fortunei,"Wintercreeper euonymus, wintercreeper","Perennial, herbaceous","Full, partial",Well-drained,"Acidic, neutral, alkaline",,,Asia,"Toxic to humans, toxic to pets",Celastraceae
344,Torenia fournieri,"Wishbone flower, bluewings, clown flower",Annual,Partial shade,"Loamy, well-drained","Acidic, neutral","Spring, summer","Bi-colors of pale violet and dark purple, yellow and dark purple , dark purple and white, pink and white",Asia,,Linderniaceae
345,Wisteria spp.,"Wisteria, Chinese wisteria, Japanese wisteria, American wisteria","Deciduous, perennial vine","Full sun, partial shade",Well-drained,Slightly acidic to neutral,,,Northern Hemisphere,,Fabaceae
361,Cornus servicea 'Flaviramea' (formerly Cornus stolonifera 'Flaviramea'),Yellow-twig dogwood and yellowtwig dogwood,Deciduous shrub,Full sun to part shade,Consistently moist soil with high levels of organic material,5.5 to 6.5; slightly acidic,Late spring,White,"North America, except for lower Midwest and deep South",,
373,Zygopetalum,,"Perennial, epiphyte",Partial,,,Up to 4 times annually,"Purple, burgundy, green, white, blue",Tropical South America,,Orchidaceae
380,Viburnum prunifolium,"Blackhaw viburnum, blackhaw, black haw, sweet haw, stag bush, sheepberry","Perennial, shrub","Full, partial","Moist, well-drained",Neutral,Spring,White,North America,,
383,Gaillardia x Grandiflora,"Gallardia, blanket flower",Herbaceous perennial,Full sun,"Poor, well-draining soil",6.1 to 6.5 (slightly acidic),"Repeat bloomer, summer through fall","Various shades of red, yellow, orange, or peach",Cultivated hybrid; parents are native North American wildflowers,Slightly toxic to humans,Asteraceae
388,Hydrangea macrophylla 'P11HM-11',BloomStruck hydrangea,Deciduous shrub,Partial shade,"Well-draining, moist","Acidic for blue blooms, alkaline for purple or red blooms",Summer,"Blue, purple, red","Cultivar, no native range","Toxic to humans, toxic to dogs, cats, and horses",Hydrangeaceae
398,Iris versicolor,"Northern blue flag, blue flag, harlequin blue flag, blue flag iris, large blue iris, larger blue flag, purple iris","Perennial, herbaceous","Full, partial",Moist,Acidic,"Spring, summer","Blue, purple",North America,"Toxic to humans, toxic to pets",Iridaceae
417,Nephrolepis exaltata,"Boston fern, sword fern, ladder fern, boss fern","Herbaceous, perennial",Partial sun,"Moist, well-drained",Acidic (6.0 to 6.5),Non-flowering,Non-flowering,"Americas, Africa, Polynesia",,Lomariopsidaceae
420,Bougainvillea,"Bougainvillea, lesser bougainvillea, paper flower",Perennial shrub,Full sun,,Acidic,"Spring, summer, fall","Pink, purple, red, yellow",South America,Mildly toxic to pets,
422,Buxus spp.,"Boxwood, English boxwood, box",Shrub,"Full, partial",Loamy,"Neutral, alkaline",Spring,"Green, yellow","Europe, Asia",Toxic to pets,Buxaceae
424,Stenocactus multicostatus,"Brain cactus, wave cactus",Cactus,Full,"Sandy, well-drained","Acidic, neutral, alkaline","Spring, summer","White, pink, purple",Central America,,
428,Thunbergia alata,"Black-eyed Susan vine, clockvine","Perennial, annual, vine","Full, partial","Loamy, rich, well-draining",Neutral,"Spring, summer, fall","Red, rose, orange, yellow, white",Africa,,Acanthaceae
431,"Cytisus spp., Genista spp.","Broom, broom plant",Shrub,Full,"Loamy, well-drained","Acidic, neutral, alkaline","Spring, summer","Yellow, white, red, orange, purple",Europe,"Toxic to humans, toxic to pets",Fabaceae
437,Brunnera macrophylla,"Siberian bugloss, brunnera, large-leaf brunnera, heartleaf, false forget-me-not","Perennial, herbaceous","Full, partial, shade","Moist, well-drained","Acidic, neutral, alkaline",Spring,Blue,"Asia, Europe",,Boraginaceae
451,Cucurbita moschata,"Butternut squash, Butternut pumpkin, Gramma",Annual,Full sun,"Rich, well-drained",Acidic to neutral (5.5 to 7.0),Summer,Yellow,"Central America, South America",,
489,Halesia carolina,"Carolina silverbell, silverbell tree, mountain silverbell, snowdrop-tree","Deciduous tree, shrub","Full, partial",Moist but well-drained,Acidic,Spring,White,North America,,Styracaceae
514,Prunus cerasifera,"Purpleleaf plum, cherry plum",Tree,"Full, partial","Loamy, well-drained","Acidic, neutral",Spring,"Pink, white","Europe, Asia","Toxic to humans, toxic to pets.",Rosaceae
529,Livistona chinensis,,Palm tree,Full to partial,"Loamy, moist, well-drained","Acidic, neutral",Spring,Creamy white (not showy),Asia,,Arecaceae
531,Chaenomeles speciosa,"Flowering quince, Chinese flowering quince",Shrub,Full,"Moist, well-drained","Acidic, neutral","Winter, spring","White, orange, red, pink",Asia,,Rosaceae
545,Quercus muehlenbergii,"Chinkapin oak, yellow chestnut oak",Tree,Full sun,"Loamy, sandy, clay, silt, moist but well-drained",Acidic (6.5) to alkaline (above 7.0),Spring,Inconspicuous,North America,,Fagaceae
549,Mentha × piperita f. citrata 'Chocolate',Chocolate mint,Herbaceous perennial,"Full, partial",Moist,6.5–7 (slightly acidic to neutral),Mid- to late summer,"Lavender, pink",Europe and the Middle East,,Lamiaceae
550,Akebia quinata,"Chocolate vine, raisin vine, five-leaf akebia",Perennial flowering vine,"Full sun, partial shade","Sandy, loamy",Neutral to mildly acidic,Spring,"Purple, brown","Asia (Korea, China, Japan)",,Lardizabalaceae
559,Cinnamomum spp.,"Cinnamon, cassia","Tree, shrub","Full, partial","Loamy, well-drained",Acidic to neutral (6.2–7.2),Summer,"White, yellow",Asia,,
564,Bowiea volubilis,"Climbing Sea Onion, Climbing Onion, Sea Onion​, Zulu Potato, Climbing Potato","Bulb, vine, succulent","Full, partial","Silt, well-drained","Acidic, neutral (5.0-7.0)","Winter, spring","Green, yellow, white",Africa,,Asparagaceae
571,Encyclia cochleata,"Encyclia orchid, Cockleshell or cochleata orchid, clamshell orchid",Epiphyte,"Indirect, medium to bright","Well-drained mix such as fir bark, lava rock, river rocks or hardwood charcoal",5.5-6.5,Spring,"Purple, brown, yellow, green and fuchsia","Damp forests, woodlands and swamps of southern Florida, Mexico, the West Indies, and Central and South America",,
579,Symphytum officinale,"Comfrey, common comfrey, true comfrey, knitbone, knitback, consound","Herbaceous, perennial","Full, partial","Loamy, well-drained",Neutral,Spring,"Purple, pink, white","Europe, Asia",Toxic to humans and pets,Boraginaceae
584,Lonicera periclymenum,"Common Honeysuckle, European Honeysuckle, Woodbine",Deciduous shrub with a vine-like growth habit,Dappled sunlight,"Moist, well-drained soils",Neutral; tolerates both acidic and alkaline,"Spring, summer, fall",Crimson purple outside and yellow and white inside,"Europe, Northern Africa, Southwest Asia",,
590,Tanacetum vulgare,"Common tansy, bitter buttons, cow bitter, golden buttons","Perennial, herbaceaous",,Well-drained,,Summer,Yellow,"Europe, Asia","Toxic to humans, cows, and horses",
603,Dracaena fragrans,"Corn plant, dracaena, false palm","Broadleaf, evergreen, shrub/tree",Partial,"Moist, well-draining, loamy",6.1 to 6.5 (Acidic),Late fall and then again in late spring; nighttime bloomer,"White, yellow",Africa (tropics),Toxic to dogs and cats,Asparagaceae
605,Cornus mas,"Cornelian cherry dogwood, cornelian cherry, European cornel",Deciduous shrub/ tree,Full sun to part shade,"Medium moisture, well-drained soil",5.0 to 8.0 (acidic to slightly alkaline),March,Yellow,"Southwestern Asia, Southern Europe",,
608,Anthemis tinctoria,"Golden marguerite, yellow chamomile",Perennial,Full sun,"Well-drained, loamy, sandy",Neutral to alkaline,Summer,Yellow,Europe,Toxic to animals,Asteraceae
612,Juniperus horizontalis,"Creeping juniper, creeping cedar","Shrub, groundcover",Full,Well-drained,"Acidic, neutral",Spring,White,North America,,Cupressaceae
613,Lobularia maritima,"Sweet alyssum, alyssum, carpet flower",Herbaceous perennial,Full or partial,Moist but well-drained,Neutral to acidic,"Spring, fall","White, pink, purple",Europe,,Brassicaceae
624,Amaranthus spp.,"Amaranth, amaranthus, love lies bleeding, tassel flower",Annual,Full sun to partial shade,Moist but well-drained,"Neutral, acidic","Summer, fall, winter",Red,"India, Africa and Peru",,Amaranthaceae
627,Glebionis coronaria,"Crown daisy, garland daisy, edible chrysanthemum, shingiku, tong hao",Annual,"Full sun, part shade","Sandy, clay, silt, loam, well-drained",Acidic to alkaline (6.1 to 7.8),Summer,Yellow and white,Mediterranean,,Asteraceae
628,Fritillaria imperialis,Crown imperial,"Perennial, bulb","Full, partial","Sandy, well-drained","Acidic, neutral, alkaline",Spring,"Red, orange, yellow",Asia,"Toxic to humans, toxic to pets",Liliaceae
631,Cucumis sativus,"Cucumber, gherkin",Annual,Full sun to partial shade,"Rich, well-draining",Acidic to neutral (5.5 to 7.0),Seasonal,Yellow,Asia,,
633,Cobaea scandens,"Cup and saucer vine, cathedral bells",Perennial vine (typically grown as an annual),Full sun,Moist but well-drained,Neutral to acidic,"Spring, summer","Green, maturing to purple",Mexico,,
652,Hemerocallis spp.,"Daylily, day lily",Herbaceous perennial,Full sun (tolerates part shade/light woodland),Deep fertile medium loamy soil (tolerates light sandy or heavy clay),Acidic,Spring to late summer,"Red, orange, yellow, purple, pink",Asia and Central Europe,Toxic to cats,Liliaceae
655,Adenium obesum,"Desert rose, Sabi star, mock azalea, impala lily",Succulent,Full,,Neutral to acidic,Summer,"Pink, red, rose","Tropical Africa, Arabian peninsula",Toxic to humans and pets,Apocynaceae
661,Dieffenbachia spp.,"Dieffenbachia, dumb cane","Herbaceous, perennial",Partial,Well-drained,Acidic,,,"Caribbean, South America","Toxic to people, pets",Araceae
665,Actaea pachypoda,"White baneberry, doll's eyes",Herbaceous perennial,"Part shade, shade","Moist, well-drained, and humus-rich",Less than 6.8,Spring,White,"Eastern North America (eastern Canada, and the Midwestern and eastern United States)",Toxic to humans and all animals except birds,
672,Dracaena marginata,"Dragon tree, dragon plant, Madagascar dragon tree",Broadleaf evergreen,"Full sun, partial shade","Loamy, well-drained",Neutral to acidic,Spring (rarely flowers indoors),White,Madagascar,"Toxic to dogs, toxic to cats",Asparagaceae
683,Picea glauca 'Conica',"Dwarf Alberta spruce, dwarf white spruce",Tree,Full,"Moist, well-drained soil","Acidic, neutral, alkaline",,,North America,,Pinaceae
702,Liquidambar styraciflua,"Sweetgum, sweet gum, alligatorwood, American sweetgum, American storax, gum tree, redgum, star-leaved gum",Deciduous tree,Full sun,"Well-drained loam, with good fertility",Acidic to neutral,,,"Eastern United States, Northern Mexico",,Altingiaceae
726,Fagus sylvatica,"European beech, common beech",Tree,"Full, partial","Loamy, moist, well-drained","Acidic, neutral",Spring,Yellow-green,Europe,Toxic to humans and animals,
732,Osmanthus fragrans,"Fragrant tea olive, sweet osmanthus, sweet olive fragrant olive, false holly",Broadleaf evergreen shrub or small tree,"Full, partial",Well-drained,Acidic to neutral (5.0 to 7.5),"Spring, fall, intermittent",White or yellow,Asia,,Oleaceae
734,Dracaena fragrans,"Corn plant, dracaena, false palm","Broadleaf, evergreen, shrub/tree",Partial,"Moist, well-draining, loamy",6.1 to 6.5 (Acidic),Late fall and then again in late spring; nighttime bloomer,"White, yellow",Africa (tropics),Toxic to dogs and cats,Asparagaceae
740,Calamagrostis x acutiflora,"Feather reed grass, reed grass",Perennial,Full,"Rich, moist","Acidic, neutral, alkaline","Summer, fall",Pinkish-purple,"Europe, Asia",,Poaceae
746,"Datura inoxia, Datura innoxia","Angel’s trumpet, pricklyburr, downy thorn apple, desert thorn apple, Indian apple, moonflower, sacred datura, jimson weed","Herbaceous, perennial",Full,"Loamy, well-drained","Neutral, alkaline","Summer, fall","White, pink, purple","North America, Central America, South America","Toxic to people, toxic to pets",Solanaceae
754,Fittonia albivenis,"Nerve plant, mosaic plant, fittonia, painted net leaf",Perennial,Partial,Moist but well-drained,Acidic,Summer,"White, red",South America,,Acanthaceae
758,Dianella tasmanica,"Flax lily, Tasman flax lily",Perennial,"Partial, Full","Sandy, loamy, well-drained","Acidic, neutral",Spring,"Blue, white","Australia, Asia",,Asphodelaceae
762,Nicotiana alata,"Flowering tobacco, jasmine tobacco, sweet tobacco, winged tobacco","Perennial, herbaceous","Full, partial","Moist, well-drained","Acidic, neutral, alkaline","Summer, fall","Yellow, green, white, pink, red",South America,"Toxic to humans, toxic to pets",Solanaceae
764,Carex tumulicola,"Foothill Sedge, Slender Sedge, Splitawn Sedge",Semi-deciduous rhizomatous evergreen,Part shade to full shade,Adaptable,Acidic to neutral,Spring and summer,Brown or cream,Western North America,,
766,Myosotis sylvatica,"Forget-me-not, woodland forget-me-not, ornamental forget-me-not",Biennial,"Full, partial","Moist, well-drained","Mildly acidic, neutral, mildly alkaline","Spring, summer","Blue, white, yellow, pink",Europe,,Boraginaceae
778,Fuchsia (Group),Fuchsia,"Shrub, annual",Partial shade,Moist but well-drained,Neutral to acidic,"Spring, summer, fall","Red, pink, white, violet, purple","Caribbean, South America",,Onagraceae
782,Phlox paniculata,"Garden phlox, tall phlox",Herbaceous perennial,Full sun to partial sun,Moist but well-drained,Neutral,Summer,"Lavender, lilac, pink, purple, salmon, white",Eastern United States,,
785,Allium tuberosum,"Garlic chives, Chinese chives, Chinese leek","Fibrous bulb, perennial, clump-forming herb",Full sun to part shade,"Rich, well-draining",Neutral,August to September,Creamy white,Southeastern Asia,,
810,Aruncus dioicus,"Goat's beard, goatsbeard, buck's beard, bride's feathers","Herbaceous, perennial","Full, partial","Moist, loamy","Acidic, neutral, alkaline","Spring, summer",Cream,"Asia, Europe, North America",Toxic to people and animals,
813,Anthurium spp.,"Anthurium, tailflower, flamingo flower, laceleaf","Herbaceous, perennial",Partial,Well-drained,Acidic,"Spring, summer, fall, winter","Red, pink, white","Central America, South America, Caribbean",Toxic to humans and pets,Araceae
819,Lamium galeobdolon,"Golden dead nettle, yellow deadnettle, weasel's snout, artillery plant, aluminium plant","Herbaceous, perennial","Partial, shade","Sandy, loamy, clay, well-drained","Acidic, neutral, alkaline",Spring,Yellow flecked with orange or brown,"Europe, Asia",,
828,"Ribes uva-crispa (European gooseberry), Ribes hirtellum (American gooseberry)",Gooseberry,Fruit,"Full sun, partial shade","Loamy, sandy, well-drained",Neutral to Acidic (6.0 to 7.0),Spring,"Pink, yellow, greenish-white","Europe, North America",,Grossulariaceae
830,Muscari armeniacum,"Grape hyacinth, muscari, bluebells",Bulb,"Full sun, partial shade",Moist but well-drained,Neutral to acidic,Early spring,"Blue, white, lavender, pink, yellow",Asia,,
844,Hakonechloa macra,"Golden Japanese forest grass, Hakone grass",Perennial ornamental grass,"Part shade, shade","Moist, well-drained soil",6.0 to 7.0 (acidic to neutral),Mid to late-summer,Yellow-green (insignificant),Moist cliffs and woodland areas of Japan,,
