,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
1073,"European fan palm, Mediterranean fan palm, Mediterranean dwarf palm",Chamaerops humilis,Arecaceae,"Tree, shrub","6–15 ft. tall, 6–20 ft. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral, alkaline",Spring,Yellow,8-11 (USDA),Mediterranean,
1074,"Melon cactus, Turk's cap cactus",Melocactus,Cactaceae,Cactus,"Up to 3 ft. tall, 1 ft. wide",Full,"Sandy, well-drained","Acidic, neutral",Summer,"Pink, red","10, 11","Central America, South America",
1075,Mexican bush sage,Salvia leucantha,Lamiaceae,Perennial,"4 ft. tall, 3 ft. wide",Full,Moist but well-drained,"Acidic, neutral, alkaline",Summer,"Purple, white, blue",8-11 (USDA),"North America, Central America",
1076,"Mexican fleabane, Mexican daisy, seaside daisy",Erigeron karvinskianus,,"Perennial, herbaceous",Up to 2 ft. tall,"Full sun, partial shade",Well-drained,"Acid, neutral, alkaline","Spring, summer, fall",White to pink and purple,"5 - 9, USA",Mexico,
1077,"Mexican Fan Palm, Skyduster",Washingtonia robusta,Arecaceae,Tree,"50-100 ft. tall, 8-10 ft. wide",Full,"Loamy, Sandy, Silt, Well-drained","Acidic, Neutral",Summer,"Yellow, White","9-11, USA",Central America,
1078,"Mexican feather grass, Mexican feathergrass, Mexican wiregrass, pony tails, silky thread grass, Texas tussock","Nassella tenuissima (formerly, Stipa tenuissima)",,Perennial ornamental grass,"24 in. tall, with a slightly greater spread",Full sun to partial sun,Loamy,Slightly acidic to slightly alkaline,Mid-summer,"Begins greenish, matures to a golden-brown, fades to a tan",7-10 (USDA),"South America, Central America, parts of the American Southwest",
1079,Mexican firecracker,Echeveria setosa,,"Perennial, evergreen",12 inches tall and 3 inches wide,Full to partial sun,"Sandy, well-draining",Slightly acidic,Late spring,Red and yellow,"9 to 11, USA",Mexico,
1080,"Mexican hat, prairie coneflower, thimbleflower",Ratibida columnifera,,Perennial,"Up to 3 ft. tall, 18 in. wide",Full,"Loamy, sandy, well-drained","Neutral, alkaline","Spring, summer, fall","Orange, yellow, brown","4 to 9, USDA",North America (Mexico),
1081,"Mexican Heather, Elfin Herb, False Heather, Hawaiian Heather",Cuphea hyssopifolia,Lythraceae,Evergreen shrub,"1 to 2 ft. tall, 1 to 4 ft. wide",Full sun to light/part shade,"Loam or Clay (Average, medium, well-drained)",Slightly acidic (5.5 to 7),Summer to frost,"Purple, Pink, White","9b-11, USDA","Central America (Mexico, Guatemala, Honduras)",Toxic
1082,"African marigold, Mexican marigold, Aztec marigold, American marigold",Tagetes erecta,Asteraceae,Annual,"1–4 ft. tall, 1–2 ft. wide",Full,"Sandy, loamy, well-drained","Acidic, neutral","Summer, fall","Orange, yellow, white",2–11 (USDA),"North America, Central America",Toxic to humans
1083,"Baby rubber plant, pepper elder, radiator plant, shining bush plant, emerald ripper pepper","Peperomia spp. (including P. caperata, P. obtusifolia, and others)",Piperaceae,"Perennial, epiphyte","6–12 in. tall, 6–12 in. wide",Full or partial,Moist but well-drained,Neutral to acidic,Summer,"White, green, brown",10–12 (USDA),"Central America, South America, and the Caribbean",
1084,"Mexican orange, Mexican orange blossom, Mexican orange flower, mock orange.",Choisya ternata,Rutaceae,Broadleaf evergreen shrub,"6-8 ft. tall, 6–8 ft. wide","Full, partial","Fertile, well-drained",Slightly acidic,Summer,White,7–10 (USDA),"Southern North America, Mexico",
1085,"Mexican petunia, Mexican bluebell, Britton's petunia",Ruellia brittoniana or Ruellia simplex,Acanthaceae,"Perennial, rhizome","1-4 ft. tall, 1-3 ft. long, 1-3 ft. wide","Full, partial","Loamy, sandy, moist but well-drained","Acidic, neutral","Summer, fall",Purple,"8-11, USDA","North America, South America, Caribbean",
1086,"Pink evening primrose, showy evening primrose, pinkladies, Mexican primrose",Oenothera speciosa,Onagraceae,Herbacious perennial,"12–18 in. tall, 12–18 in. wide",Full,"Loose, well-draining; tolerates rocky poor soil",Slightly acidic to neutral,"Summer, fall","White, pale pink",5–8 (USDA),North America,
1087,"Mexican Gem, Mexican Snowball, White Mexican Rose",Echeveria elegans,,Succulent,"6 to 8 inches tall, 12 inches wide",Full sun,"Sandy, well-drained",Acidic,"Spring, summer","Pink, yellow",09-Nov,North America,
1088,"Mexican Sunflower, tree marigold",Tithonia rotundifolia,Asteraceae,"Annual, perennial",3-8 ft. tall,Full,"Sandy, well-drained",Acidic,"Summer, fall","Yellow, orange",9-11 (USDA),"North America, Central America",
1089,Meyer lemon,Citrus x meyeri,Rutaceae,"Tree, shrub","6–10 ft. tall, 4–8 ft. wide","Full, partial","Sandy, well-draining","Neutral, acidic","Fall, spring",White,9–11 (USDA),China,Toxic to pets
1090,Milk thistle,Silybum marianum,,"Herbaceous, biennial","2-6 ft, tall, 1-3 ft. wide",1090,"Loamy, sandy, clay, silt",,Summer,Purple,5-9 (USDA),Europe,
1091,"Milkweed, common milkweed",Asclepias syriaca,Apocynaceae/Asclepiadaceae,Herbaceous perennial,2 to 4 ft. tall,Full sun,"Any well-drained soil; tolerates clay soil and poor, dry conditions",4.8 to 7.2,June to August,"Pink, mauve, white",3 to 9 (USDA),Eastern United States,Toxic to humans and animals
1092,"Million bells, trailing petunia, mini petunia",Calibrachoa,,"Herbaceous perennial, annual",3 to 9 inches tall and 6 to 24 inches wide,Full sun,"Rich, moist, well-draining",5.2 to 6,Spring to frost,"Pink, yellow, red, violet, white, blue, magenta, bronze",9 to 11,South American hybrid,
1093,Pansy orchid,"Miltonia, Miltoniopsis",Orchidaceae,Perennial,12-20 in. tall,Indirect sun to part shade,"Fir bark, moss, pebbles",,Species specific,"Red, yellow, green, white, brown","11-12, USDA","Brazil, Colombia to Costa Rica",
1094,"Baby rubber plant, pepper face plant",Peperomia Obtusifolia,Piperaceae,"Perennial, Herbaceous",Up to 1 ft. tall,Partial,"Clay, Sand, Loam","Acidic, Neutral, Alkaline",Periodic through the year,White,10-12 (USDA),South America,
1095,Ming aralia,Polyscias fruticosa,Araliaceae,Shrub,"6–8 ft. tall, 2–3 ft. wide",Partial,"Loamy, well-drained",Acidic,Summer,"Yellow, white",11–12 (USDA),Asia,Toxic to pets and humans
1096,Mini cyclamen,Cyclamen persicum,Primulaceae,"Perennial, tuber","4-6 in. tall, 4-6 in. wide","Partial, shade","Loamy, well-drained","Acidic, neutral",Winter,"Red, pink, white","10-11, USA","Europe, Mediterranean","Toxic to humans, toxic to pets"
1097,"Mini monstera, Philodendron/monstera ""Ginny"", Philodendron ""Piccolo"", Monstera minima",Rhaphidophora tetrasperma,Araceae,"Perennial, vine","6-8 ft. tall (indoors), 15-20 ft. tall (outdoors)",Partial,Moist but well-draining,"Acidic, neutral","Spring, summer","Green, white","9b, 10a, 10b, 11a, 11b, 12a, 12b","Africa, Asia",
1098,"Miniature rose, rose",Rosa spp.,Rosaceae,Deciduous shrub,"1–2 ft. tall, 1–2 ft. wide",Full sun,Moist but well-drained,Neutral to acidic,"Late spring, summer","Pink, red, yellow, white",5–9 (USDA),None; miniature roses are a cultivated creation,
1099,Mint,Mentha spp.,Lamiaceae,"Perennial, herb","12–18 in. tall, 18–24 in. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral",Summer,,"3–11, USA (depends on species)","North America, Africa, Australia",Toxic to animals
1100,Mistletoe cactus,Rhipsalis spp.,,llthophytic or epiphytic cacti,1–20 feet (depends on species and age of plant),Part shade to full shade,Porous cactus potting mix with organic matter,5.0 to 6.5 (acidic),Year-round when grown in ideal conditions; varies by species.,White or creamy yellow,9–11 (USDA),"South America, tropical, Africa",
1101,"Mistletoe cactus, chain cactus, spaghetti cactus, Rhipsalis",Rhipsalis baccifera,Cactaceae,Succulent,"6 ft. long, 2 ft. spread (indoors), 30 ft. long, 5 ft. spread (outdoors)","Partial, shade",Moist but well-drained,Acidic,"Spring, summer","White, green","9a, 9b, 10a, 10b","South America, Central America, Africa",
1102,"Mizuna kyona, shui cai",Brassica rapa var. japonica (synonym: Brassica rapa nipposinica),,Biennial green,"5 to 7 inches high, 10 to 15 inches wide","Full sun, partial shade","Well-drained, rich soil",Neutral (6.5 to 7.0),Spring (not typically grown for flowers),Yellow,4 to 9,Kansai region of Japan,
1103,"Orange jasmine, orange jessamine, satinwood, mock orange","Murraya paniculata, Chalcas paniculata",Rutaceae,Shrub,"8-12 ft. tall, 8-12 ft. wide","Full, partial","Loamy, well-drained","Acidic, neutral, alkaline","Spring, summer, fall",White,10-12 (USDA),"Asia, Australia",
1104,"Mock orange, mock orange shrub, sweet mock orange, English dogwood",Philadelphus coronarius,Hydrangeaceae,Shrub,10–12 ft. tall and wide,"Full, partial","Loamy, moist, well-drained","Acidic, neutral","Spring, summer",White,"4–8, USA",Europe,
1105,"African milk tree, African milk bush",Euphorbia trigona,Euphorbiaceae,Succulent,"6-9 ft. tall, 1-2 ft. wide",Partial,"Loamy, well-drained",Neutral,"Spring, summer",White,9b-11 (USDA),Africa,"Toxic to humans, toxic to pets"
1106,"Baby tears, baby's tears, angel's tears",Soleirolia soleirolii,Urticaceae,"Herbaceous perennial, often grown as an annual",4 in. tall; 36 in. wide,Partial sun to shade,"Rich, moist loam",5.0 to 6.0 ( slightly acidic),Late spring to early summer; May to June,Creamy ivory,9 to 11 (USDA),Mediterranean,
1107,"Mock strawberry, false strawberry, Indian strawberry, and Indian mock strawberry","Potentilla indica, formerly Duchesnea indica, originally Fragaria indica",,"Fruit-bearing, deciduous groundcover",2.5 inches tall,Full sun to partial shade,Humus rich,Mildly acidic to mildly alkaline,April to June,Yellow/gold,"5-9, USDA",Asia (Afghanistan to Russian Far East),
1108,"Mona Lavender, 'Mona Lavender' plectranthus, lavender spur flower",Plectranthus 'Mona Lavender',Lamiaceae,"Perennial, shrub","1-2 ft. tall, 1–2 ft. wide",Partial,"Rich, well-drained",Acidic,"Fall, winter",Purple,10-11 (USDA),"Cultivar, no native range",
1109,"Money tree, Guiana chestnut",Pachira aquatica,,Tree,,1109,,,,,,,
1110,"Monkey grass, black mondo grass",Ophiopogon planiscapus 'Nigrescens',,Herbaceous perennial,9 to 12 inches tall and wide,Full sun to part shade,"Moist, well-drained",5.5 to 6.5,July to August,Pink,6 to 9,Japan,
1111,"Monkey puzzle tree, Chilean pine",Araucaria araucana,Araucariaceae,Coniferous evergreen tree,"50–80 ft. tall, 20–30 ft. wide","Full, partial","Semi-rich, evenly moist, well-drained",Acidic to alkaline,Non-flowering,Non-flowering,7-10 (USDA),,
1112,"Chenille flower, monkey tail, red-hot cattail",Acalypha hispida,Euphorbiaceae,"Evergreen perennial, annual in containers, houseplant",In tropical climates up to 15 feet tall and 8 feet wide; much smaller when grown in containers and indoors,Full to partial sun,"Sand, clay, loam",Slightly acidic (6.0) to neutral (7.5),Any time of year when temperature is warm enough,Red,10-Nov,The Philippines and New Guinea,
1113,"Monkshood, aconite monkshood, wolfsbane",Aconitum napellus,Ranunculaceae,"Herbaceous, perennial","2–5 ft. tall, 1–2 ft. wide","Full, partial",Moist but well-drained,"Acidic, neutral","Summer, fall","Blue, purple, white, yellow, pink",3–8 (USDA),"Europe, Asia","Toxic to people, toxic to pets"
1114,"Monstera albo, variegated monstera",Monstera deliciosa ‘Albo Borsigiana’,Araceae,Perennial,"10 ft. tall, 3 ft. wide (indoors) 30 ft. tall, 5 ft. wide (outdoors)",Partial,Moist but well-draining,"Acidic, neutral","Spring, summer",Green,"9-11, USA",Central America,Toxic to pets
1115,Shingle plant,Monstera dubia,,Perennial,"3 ft. tall indoors, 10 ft. tall outdoors",Partial sun,"Loamy, moist but well-drained","Acidic, neutral","Spring, summer",Pink,9 to 11,"Central America, South America",Toxic to pets
1116,Monstera Peru,Monstera karstenianum,Araceae,"Perennial, vine",6-8 ft. tall,Partial,"Loamy, well-draining","Acidic, neutral",Summer,"Green, white","10b, 11a, 11b, 12a, 12b",South America,"Toxic to pets, toxic to people"
1117,"Baby Toes, Baby's Toes, Window Plant",Fenestraria rhopalophylla,,Succulent,3 inches tall,Full,"Sandy, well-drained",Acidic,"Spring, fall","Yellow, white","10a, 10b, 11a, 11b",Namibia and South Africa,Toxicity to pets is widely debated; exercise caution
1118,"Nippon daisy, Montauk daisy",Nipponanthemum nipponicum,Asteraceae,"Perennial, herbaceous",18-36 in. tall and wide,Full,Well-drained,Acidic,"Summer, fall",White,5-9 (USDA),Japan,
1119,"Coppertips, montbretia",Crocosmia spp.,Iridaceae,Perennial grown from corms,2-3 feet high,Full sun is preferred; partial sun is tolerated,Well-drained,Neutral,Summer,"Red, yellow, orange",06-Sep,South Africa,
1120,"Monterey pine, insignis pine, radiata pine",Pinus radiata,Pinaceae,Evergreen tree,"45–190 ft. tall, 15–30 ft. wide","Full, partial","Sandy, fast-draining",Acidic to neutral (5.5–6.5),Winter,"Yellow, brown, cream (non-showy)",7–10 (USDA),Western North America (CA to Mexico),
1121,"Moon cactus Ruby ball cactus, ruby red cactus",Gymnocalycium mihanovichii,,Herbaceous perennial,"Varies, depends on rootstock","Partial, shade","Rich, fast-draining cactus mix",Acidic to neutral (5.5–7.0),Varies; usually summer,Yellowish-green (indistinct),11–12 (USDA),South America,
1122,"Moonflower, moon vine, tropical white morning glory",Ipomoea alba,Convolvulaceae,"Tender perennial, vine","10–15 ft. tall, 3–6 ft. wide",Full,"Moist, well-drained",6.0—7.5 (slightly acidic to neutral),Summer to fall,White,10–12 (USDA),Tropical Americas,"Toxic to humans; toxic to dogs, cats, and horses"
1123,Morel mushrooms,Morchella spp.,,Sac fungi (mushroom),2 to 12 inches,Shade,Well-draining loam,Slightly acidic to neutral (6.8 to 7.0),,,4–9,Forested areas throughout the Northern hemisphere,
1124,"Moringa plant, moringa tree, miracle tree, horseradish tree, drumstick tree, ben oil tree",Moringa oleifera,Moringaceae,Tree,"25-35 ft. tall, 15-25 ft, wide",Full,"Loamy, sandy, well-drained","Neutral, acidic",Spring,White,10-11 (USDA),Asia,
1125,"Morning glory, common morning glory",Ipomoea purpurea,Convolvulaceae,Annual,"6–10 ft. tall, 3–6 ft. wide",Full,"Moist, well-drained","Neutral, acidic","Summer, fall","Purple, pink, blue, white",2–11 (USDA),North America,"Toxic to people, toxic to pets"
1126,"Yesterday-today-and tomorrow plant, Morning-noon-and-night, Kiss-me-quick, Brazil raintree, Franciscan raintree",Brunfelsia pauciflora,,Perennial shrub,"Three to eight feet height, four to six feet width",Full sun to part shade,"Sandy, silt, loamy",<6.0 (acidic),All season bloom,"Purple, lavender, white",09-Nov,Brazil,Toxic to pets
1127,"Moss rose, moss rose purslane, Mexican rose, sun rose, rock rose",Portulaca grandiflora,Portulacaceae,Annual flowering succulent,"3–8 in. tall, 6–12 in. wide",Full,"Sandy, well-drained",Neutral to Acidic,Early summer to frost,"White, orange, yellow, red, pink",2–11 (USDA),South America,"Toxic to dogs, toxic to cats"
1128,Baby's breath,Gypsophila,Caryophyllaceae,"Perennial, annual","2–3 ft. tall, 2–3 ft. wide",Full,Well-drained,Alkaline,Summer,"White, pink",3–9 (USDA),"Europe, Africa, Asia, Australia","Toxic to people, toxic to pets"
1129,"Mother of thousands, devil's backbone, alligator plant",Kalanchoe daigremontiana,,Succulent,3 ft. tall,"Full sun, partial shade",Well-drained,"Acid, neutral, alkaline",Winter,Grayish-pink,9 to 11 (USDA),Africa,"Toxic to humans, cats, and dogs"
1130,Motherwort,Leonurus cardiaca,Lamiaceae,"Perennial, Herb","4 ft. tall, 3 ft. wide","Full, Partial, Shade","Loamy, Sandy, Clay, Silt, Moist but Well-drained","Neutral, Alkaline",Summer,"Pink, Purple","3-8, USA","Europe, Asia",
1131,"Mountain Hydrangea, Tea of Heaven",Hydrangea Serrata,Hydrangeaceae,Shrub,2-4 ft. tall,"Full, Partial",Moist but well-drained,"Acidic, Neutral, Alkaline",Summer,"Blue, Pink",6-9 (USDA),Asia,"Toxic people , toxic to pets"
1132,"Mountain laurel, ivy bush, spoonwood, calico bush, American laurel",Kalmia latifolia,Ericaceae,Shrub,"5–15 ft. tall, 5–15 ft. wide",Partial,"Moist, well-drained",Acidic,Spring,"Rose, pink, white",4a–9a (USDA),North America,"Toxic to people, toxic to pets"
1133,"Mugo pine, Swiss mountain pine",Pinus mugo,,Shrub,"2-5 ft. tall, 3-5 ft. wide","Full, partial",Well-drained,"Acidic, neutral, to alkaline",,,2 to 7 (USDA),Europe,
1134,"Mulberry tree, red mulberry, white mulberry",Morus spp.,,Deciduous tree,"30–60 ft. tall, 20–40 ft. wide","Full, partial","Rich, moist but well-drained",Mildly acidic to neutral,Spring,Yellowish-green,4–8 (USDA),"North America, China","Leaves, unripe fruit mildly toxic to humans"
1135,"Mullein, common mullein, wooly mullein (plant); Jacob’s staff, Jupiter’s staff and Aaron’s rod (flower stalks); bunny’s ears, flannel leaf, velvet leaf",Verbascum thapsus,Scrophulariaceae,Herbaceous biennial / biennial forb (a herbaceous flowering plant that’s not a grass) or short-lived perennial,Two to seven feet tall; up to two and a half feet wide,Full sun,"Poor to average, well-drained",Slightly alkaline,Summer,Yellow; flowers after two years,3-9 (USDA),"Europe, northern Africa and Asia",
1136,"Garden mum, garden chrysanthemum, hardy chrysanthemum, hardy mum, mum",Chrysanthemum spp.,Asteraceae (Compositae),"Herbaceous, perennial",4 to 36 in. tall and 12 to 36 in. wide (size varies depending on the variety),Full sun,"Moist, well-drained",Neutral to acidic (6.5 to 6.7),"Summer, fall","Red, Pink, Orange, Yellow, Green, Purple, Maroon, Bronze, White",5 to 9,"Asia, Europe","Toxic to dogs, cats, horses"
1137,Munstead lavender,Lavandua angustifolia ‘Munstead’,Lamiaceae,"Herbaceous, perennial","1 to 1.5 ft. tall, 1 to 1.5 ft. wide",Full,"Sandy, well-drained",Neutral,Summer,"Blue, lavender, purple",5-9 (USDA),Mediterranean,Toxic to pets
1138,"Common Myrtle, Myrtle, True Myrtle, True Roman Myrtle, Sweet Myrtle, Myrtle Bonsai Tree",Myrtus communis,Myrtaceae,Evergreen shrub/tree,"3 to 15 ft. tall, 10 ft. wide",Full,Well-draining,Neutral to Acidic,Summer,White,8-11 (USDA),Mediterranean,Toxic to pets
1139,"Cornflower, bachelor's button",Centaurea cyanus,Asteraceae,Annual,"12–48 in. tall, 10–12 in. wide","Full, partial","Moist, well-drained",Alkaline,"Spring, summer","Blue, purple, pink, white, red",2–11 (USDA),Europe,
1140,N'joy pothos,Epipremnum aureum 'n'joy',Araceae,"Perennial, vine",10 ft. long,Partial,Moist but well-drained,Acidic,"Spring, summer","Green, white","10-11, USA",Asia,Toxic to pets
