commonName,botanicalName,family,plantType,size,sunExposure,soilType,soilPH,hardinessZones,nativeArea,image,site,matureSize,bloomTime,flowerColor,toxicity
Ruby Slippers hydrangea,Hydrangea quercifolia 'Ruby Slippers',,Deciduous flowering shrub,,Full sun to part shade,Loamy,5 to 6.0,5-9 (USDA),(of the species) Southeastern US from Georgia to Florida to Louisiana,https://www.thespruce.com/thmb/tuGI3rDzw_tqVHc93dO44R2j2tI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/tekinturkdoganruscus-fe2f14aede8b4ad09e2c67088298ea85.jpg,Ruby Slippers Hydrangea Hydrangea quercifolia 'Ruby Slippers'.json,"Three to four feet height, three to five feet width",Summer,White gradually turning pale pink then ruby red,
"Japanese flowering cherry, Kanzan cherry, Oriental cherry",Prunus serrulata cultivars,Rosaceae,Deciduous tree,,Full,"Loamy, well-drained",Neutral (6.7 to 7.1),5–8 (USDA),"China, Korea, Japan",https://www.thespruce.com/thmb/hUAn1Z9H0zz85bmAVCl9gHW9snM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/sky-pencil-holly-2132077-hero-68bd6ebfcd2641a081d6b9ad82e86424.jpg,Japanese Flowering Cherry Prunus serrulata.json,"15–25 ft. tall , 13–26 ft. wide",Spring,Pinkish red blooms,"Seeds, leaves, stems toxic to humans and animals"
Watermelon,Citrillus lunatus,,Annual fruiting vine,9 to 18 inches tall; 10- to 15-foot vine spread,Full sun,"Loamy, sandy, well-drained",Slightly acidic to neutral (6.0 to 6.8),Grown as an annual in zones 2 to 11,Western Africa,https://www.thespruce.com/thmb/UAGwuRJSA8QamfZSelweewohwqg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/bayberry-shrubs-offer-gray-berries-salt-tolerance-2131960-hero-89239fccc647424da3b69cc3fdaf4297.jpg,Watermelon Citrullus lanatus.json,9 to 18 inches tall; 10- to 15-foot vine spread,,,
"Butterhead lettuce, butter lettuce, butter leaf, buttercrunch",Lactuca sativa var. capitata,,"Annual, vegetable",9–15 in. tall and wide,"Full sun, partial sun","Loamy, moist, well-drained","Acidic, neutral",2–11 (USDA),Mediterranean,https://www.thespruce.com/thmb/2mCpneLLwq28LLjyVwLmUZx_rBs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-and-care-for-buttercrunch-lettuce-4767592-01-79af63719f184e02a961e0bb04d00511.jpg,Buttercrunch Lettuce Latuca sativa var. capitata.json,9–15 in. tall and wide,,,
"Pattypan squash, scallop squash",Cucurbita pepo var. clypeata,Cucurbitaceae,Annual vegetable,2 ft.; 3- to 4-ft. spread,Full sun,"Rich, well-drained loam",Slightly acidic (6.1 to 6.5),"2-11 (USDA, annual in all zones)",Mexico,https://www.thespruce.com/thmb/Om_r8cb2ULnngFoamoZ6UKC_tjs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-peace-lilies-1902767-hero-01-01-9cd2172cd5ef4d7198351df445b8e851.jpg,Patty Pan Squash Cucurbita pepo.json,2 ft.; 3- to 4-ft. spread,Summer,,
"Cucumber, gherkin",Cucumis sativus,,Annual,,Full sun to partial shade,"Rich, well-draining",Acidic to neutral (5.5 to 7.0),4 to 11 (USDA),Asia,https://www.thespruce.com/thmb/-d8I03sWQfg3glqq-P3D49BY-sc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/why-are-cucumbers-bitter-1403369-01-782a6fe60dbc4038aea2dc8e1d6bbc64.jpg,Cucumber Cucumis sativus.json,"9 to 18 inches tall, 3 to 8 feet wide",Seasonal,Yellow,
"Gas plant, burning bush, dittany",Dictamnus albus,,"Perennial, herbaceous",,Full sun,"Loamy, sandy, chalky, clay","Neutral, alkaline","3-8, USA","Europe, Asia",https://www.thespruce.com/thmb/25F8wUlcnKShhIbGGMFdBWxSywU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/gas-plant-plant-care-5081295-hero-b7a1f0f796ad4282abb92bd9ed9cefdc.jpg,Dittany Dictamnus albus.json,Up to 3 ft. tall,Summer,"Pink-purple, White, Red",Toxic to pets
"Bird of paradise, crane flower","Strelitzia reginae, Strelitzia nicolai",Strelitziaceae,Herbaceous perennial,,Full to partial,Loamy,Slightly acidic,10-12 (USDA),Africa (South Africa),https://www.thespruce.com/thmb/7tRBduGgsDhii-64R58YrHf4FR8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/princess-flower-growing-profile-3269233-01-crop-20896922d0cb45e4b2960e5c9163a5a7.jpg,Pride Of Barbados Caesalpinia pulcherrima.json,"3.5-6 ft. tall, 3-4 ft. wide",Late winter to early spring,Orange or white,Toxic to pets
Sesame,Sesamum indicum,Pedaliaceae,Tropical,,Full sun,"Medium texture, well-drained","Neutral, sweet (no salt)",10 and above (USDA),"Sub-Saharan and North Africa, India",https://www.thespruce.com/thmb/xqzg1aY_sCjjfxT2DGuCRcuvXNg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-tiger-jaws-indoors-4775193-10-88f3a4ffd2224a51a5060cffb786a853.jpg,Sesame Sesamum indicum.json,3-4 feet,Summer,"White, purple, blue",None
"Melampodium, butter daisy, black foot daisy",Melampodium spp.,Asteraceae,Annual,,Full,"Dry to medium moisture, well-drained",Slightly acidic to slightly alkaline,2 to 11 (true annual),"Central American, South American, southern North America",https://www.thespruce.com/thmb/YOzPK2WCOioSuXrgN29a0OMmDCw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/melampodium-plant-profile-5070440-6-506411e8086549d68174fee041d2e9f0.jpg,Black Foot Melampodium.json,"6-24 in tall, 8-18 in. wide (varies by cultivar)",Late spring to fall,"White, yellow/gold",
"Oxeye daisy, moon daisy, mayweed, white daisy, whiteweed, field daisy, marguerite, poorland flower",Leucanthemum vulgare (previously known as Chrysanthemum leucanthemum),,Herbaceous perennial wildflower,,Full sun to part shade,"Coarse and medium-textured, well-drained",Mildly acidic to neutral,"3 to 8, USDA",Europe to Russian Far East and Caucasus,https://www.thespruce.com/thmb/Wmnry3tudzumi_2QoJWcPgol3YY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-and-care-for-pacific-rhododendrons-5074936-hero-bef24c19b75f43f5ac890863b64fa24d.jpg,Oxeye Daisy Leucanthemum vulgare.json,"1 to 3 ft. tall, 1 to 2 ft. wide",May through August,White with gold yellow centers,
American wisteria,Wisteria frutescens,,Vine,,"Full, partial",Moist but well-drained,"Acidic, neutral","5 to 9, USA",North America,https://www.thespruce.com/thmb/Yfi306oUkrY1_Lo6yhLnQnx6wys=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/american-wisteria-plant-profile-5181640-hero-bb1a83c7496c47619ad49a5a2b99eff0.jpg,American Wisteria Wisteria frutescens.json,20 to 30 ft. long,"Spring, summer","Blue, purple, white",Toxic to humans and pets
"Mona Lavender, 'Mona Lavender' plectranthus, lavender spur flower",Plectranthus 'Mona Lavender',Lamiaceae,"Perennial, shrub",,Partial,"Rich, well-drained",Acidic,10-11 (USDA),"Cultivar, no native range",https://www.thespruce.com/thmb/mQSJGm3_J8ZvqMzRKOp7qLwMTzU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/black-mondo-grass-and-lilyturf-4125542_01-043c1247d13c44fc8b4f5005823ad2b1.jpg,Mona Lavender Plectranthus mona lavender.json,"1-2 ft. tall, 1–2 ft. wide","Fall, winter",Purple,
Chinese juniper,Juniperus chinensis,,"Shrub, tree",,Full,"Moist, well-drained",Neutral to slightly acidic,4–9 (USDA),Asia,https://www.thespruce.com/thmb/Ecr8Ht9vpuNOgw7akuys5CJtuqs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/chinese-juniper-shrubs-2132251-hero-81a0fdf0ca244199a934e004f5d66fc1.JPG,Chinese Juniper Juniperus chinensis.json,"2–40+ ft. tall, 15–20+ ft. wide",Spring,Yellow to bronze (no ornamental value),
"Chinese lantern, winter cherry, ground cherry",Physalis alkekengi,Solanaceae,Perennial,,"Full, partial","Moist, well-drained",Neutral,3–9 (USDA),"Europe, Asia",https://www.thespruce.com/thmb/sSuhknw0HpegxIEjqNDbis0C5iU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/chinese-lantern-plants-2132369-hero-500d72d3a39c45b490d5f2ec62b822ce.jpg,Chinese Lantern Physalis alkekengi.json,"1–2 ft. tall, 1–2 ft. wide",Summer,White,"Toxic to people, pets"
"Alocasia, elephant ear",Alocasia spp.,"Araceae, or Aroid",Herbaceous perennial,,Bright indirect light indoors; part shade outdoors,"Loose, well-draining potting mix or crumbly loam",Slightly acidic (5.5 to 6.5),10–12 (USDA),Tropical regions of Asia,https://www.thespruce.com/thmb/eOZGfEG8P4NVxe03aCKQWRbwCxg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-alocasia-indoors-1902735-03-e84e0164715746a0aee5b1a83aefe4ca.jpg,Alocasia Alocasia.json,"2–9 ft. tall, 2-9 ft. spread (depends on species and variety)",Spring and summer,Light butter-yellow (flowers are not showy),"Toxic to dogs, cats, and humans"
"Primrose, polyanthus",Primula spp.,Primulaceae,"Perennial, annual",,"Partial, shade","Moist, well-drained",Acidic,3-8 (USDA),"North America, South America, Europe",https://www.thespruce.com/thmb/V5-yZvxymrSkh3co6hze1RwRTWM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/ponderosa-pine-growing-guide-5196348-hero-0f4d54187bf24d60a82a6bfffb1c6e47.jpg,Polyanthus Primula and hybrids.json,"6–20 in. tall, 8–20 in. wide",Spring,"Red, pink, orange, yellow, blue, purple, white",Toxic to people and pets
"Nippon daisy, Montauk daisy",Nipponanthemum nipponicum,Asteraceae,"Perennial, herbaceous",,Full,Well-drained,Acidic,5-9 (USDA),Japan,https://www.thespruce.com/thmb/bF9neTYbsEN8hcXI4pjSbIpfT_Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/monterey-pine-plant-profile-4847064-hero-967e6fedf6904e69b08994330910d933.jpg,Montauk Daisy Nipponanthemum nipponicum.json,18-36 in. tall and wide,"Summer, fall",White,
"Black-eyed pea, cowpea, southern pea, field pea",Vigna unguiculata,,Annual vegetable,,Full sun,Sandy,Acidic to neutral (5.8 to 7.0),"Annual plants, grown in all zones",West Africa,https://www.thespruce.com/thmb/FKRMtu7jKnJRKBD6O9cQTZMBrqU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-black-eyed-peas-4125815-05-0e77e5c8c81b40b8a0f79e20d186106b.jpg,Cowpea Vigna unguiculata.json,2 to 6 feet (both bush and vine types are available),Summer,"Yellow, pink, purple, white; not showy",
"Spotted bee balm, dotted bee balm, horsemint, spotted horsemint",Monarda punctata,Lamiaceae,"Herbaceous, perennial",,Full,"Loamy, sandy, silt, well-drained",Neutral,3-8 (USDA),North America,https://www.thespruce.com/thmb/UOTfC7KCwRqcTMZrUO-a1ErQ_fU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/squirrel-corn-big-19416d7011a84bc1aec28b61f05b296e.jpg,Spotted Bee Balm Monarda punctata.json,"18 in.-3 ft. tall, 12-18 in. wide",Summer,"Pink, yellow, purple",
Silver carpet,Dymondia margaretae,,Herbaceous perennial,,"Full sun, part shade","Sandy, silt, loamy",6.5 to 7.5,"9b-11, USA",South Africa,https://www.thespruce.com/thmb/zhRnV18POkfftjXftndVlcmk_wE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/silver-maple-growing-guide-5195496-hero-00d7fb94522a442dbc2664e8b3e97256.JPG,Silver Carpet Dymondia margaretae.json,"One to three inches height, one to two feet spread",Summer,Yellow,
"Ladybells, Lady bells, false campanula",Adenophora bulleyana,,Herbaceous perennial,,Partial to full sun,Tolerant but prefers well-drained,Tolerates all,USDA 3 to 7,"Western China, Eurasia",https://www.thespruce.com/thmb/L1B_qAdvJlZyaN4hN64CWhS5tVU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/lambs-ears-uses-how-to-care-and-control-2132610-hero-e4137304e91f4d68a1a3777964a2ba0d.jpg,Ladybells Adenophora bulleyana.json,Up to 3 feet,Early summer,Pale violet blue,
"Baby's-breath euphorbia, graceful spurge, diamond frost euphorbia",Euphorbia hypericifolia,,Evergreen perennial (also grown as an annual),,"Full sun, partial shade","Loamy, well-drained",Neutral to acidic,10–11 (USDA),North America,https://www.thespruce.com/thmb/cWx5cYBIQ4bHEps9WS_mAU5gosg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/euphorbia-hypericifolia-1402841-hero-e75f17b6c7a94f8bbbb619c9caf8a4e0.jpg,Diamond Frost Euphorbia Euphorbia hypericifolia.json,"1–2 ft. tall, 1–2 ft. wide","Late spring, summer",White,Toxic to dogs and cats
"Rattlesnake plantain, jade orchid",Goodyera,,Perennial,,Partial,"Rich, moist, well-drained","Acidic, neutral",Varies among species,"Europe, Africa, North America, Central America, Asia, Australia",https://www.thespruce.com/thmb/MaC3FWyRxrEcdC8ViZ3ogzToKuI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/red-charm-peonies-live-a-charmed-life-in-your-landscaping-2131885-hero-9b743ae5e0a84fe480ba36e6a38ebe8c.jpg,Rattlesnake Plantain Goodyera.json,1–2 ft. tall and wide (on average),"Summer, fall",White,
"Coast Redwood, Coastal Redwood",Sequoia sempervirens,Cupressaceae,Needled evergreen conifer,,Full sun,"Moist, rich, humusy, well-drained",6.5 slightly acidic,"7-9, USDA",Western United States,https://www.thespruce.com/thmb/e6XW2PEmWvUkwLd9hX4AkK6pyuk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/coast-redwood-growing-guide-5196344-hero-233529caae0b45dea88f17b9fa09813b.jpg,Coast Redwood Sequoia sempervirens.json,"60 to 100 ft. tall, 35 ft. wide in cultivation",Non-flowering,Non-flowering,
"Japanese pieris, Japanese andromeda, lily-of-the-valley shrub",Pieris japonica,Ericaceae,Broadleaf evergreen shrub,,"Full, partial",Moist but well-drained,Acidic (5.1 to 6.0); may tolerate neutral soils,4–8 (USDA),"Eastern Asia (Japan, Taiwan, east China)",https://www.thespruce.com/thmb/0nR_pZn5oTCVn5Itq1dA5yRzuoA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-japanese-sedge-5085371-hero-475fe357a8d944baa7fb8e44ab143673.jpg,Japanese Pieris Pieris japonica.json,"9–12 ft. tall, 6–8 ft. wide","Late winter, early spring","White, pink","Toxic to humans, pets"
"Empress Tree, Royal Paulownia, Foxglove Tree",Paulownia tomentosa,,Deciduous Tree,,Full sun,Adaptable,Adaptable,"5-8, USA",China,https://www.thespruce.com/thmb/L_P4K7XQ7Whky8iaJMP4lXueIt8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/empress-tree-profile-5186870-hero-d0ffeb97e4db480d9a1eb9594f7d7935.jpg,Empress Trees Paulownia tomentosa.json,"30 to 40 ft. tall, 30 to 40 ft. wide",April,Lavender,
Mentha spicata,Spearmint,,Herbaceous Perennial,,Full Sun- Part Shade,"Well-draining, rich, moist soil",Neutral,"Zones 4 - 10, USA",Europe and Asia,https://www.thespruce.com/thmb/XpLQkb1x2xaIdXA3iY0UMYz6eNQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-spider-lilies-lycoris-5111318-hero-284f9505e3d0419e89f24d87199992d2.jpg,Spearmint Mentha Spicata.json,18-36 inches,Summer,Lavender,
Leyland cypress,Cuprocyparis leylandii,Cupressaceae,Coniferous evergreen tree,,Full sun to part shade,"Fertile, moist, well-drained",Acidic to slightly alkaline,6–10 (USDA); may survive in zone 5,Cultivated hybrid; parents are North American natives,https://www.thespruce.com/thmb/uvuSyjymYY-K7pGM-n-jPCGCfCE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/lightwood-62e98a45dc064ffcbe2c6303bd7feb56.jpg,Leyland Cypress Cuprocyparis leylandii.json,60–70 ft tall; 10—15-ft. wide,Non-flowering,Non-flowering,Skin irritation possible; possibly toxic to grazing animals
Shooting star hydrangea,Hydrangea macrophylla 'Hanabi',Hydrangeaceae,Deciduous shrub,,"Full, partial",Moist but well-drained,Acidic to neutral,5–9 (USDA),"Cultivar, not native range; parent species native to Asia",https://www.thespruce.com/thmb/c8vmBMJ_ixzGGhbrZQXYcjhUSbU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/how-to-grow-and-care-for-iceland-poppies-5075743-hero-f7889707ba844535b324b630cb99925e.jpg,Hydrangea 'Shooting Star' Hydrangea macrophylla 'hanabi'.json,"3–6 ft. tall, 3–6 ft. wide","Summer, fall",White,"Mildly toxic to humans, animals"
"Cyclamen, florist's cyclamen, Persian cyclamen, Persian violet",Cyclamen persicum,Primulaceae,Perennial,,Partial,"Loamy, moist, well-drained",Acidic,9–11 (USDA),Mediterranean,https://www.thespruce.com/thmb/v9qJxUbv3YhCxLsDItMS2AONI7w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/KaraRiley-11-a775c1c562804fae80a0be9c4a4dd40b.jpg,Cyclamen Cyclamen persicum.json,"6–9 in. tall, 6–9 in. wide","Fall, winter, spring","Pink, white, red, purple","Toxic to people, toxic to pets"
"Water lily, Lotus",Nymphaea (Water lily); Nelumbo (Lotus),Nymphaeceae (Water lily); Nelumbonaceae (Lotus),"Herbaceous, perennial",,Full,"Loamy, clay, silt, sandy",Neutral,4-10 (USDA),"Asia, Australia, North America",https://www.thespruce.com/thmb/jTD8on_Ik0qfi-z-Z0Fqow4FqSw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/lowbush-blueberry-plant-profile-5073720-hero-6016e7a71536416b846364b8b92cb023.jpg,Lotus Nymphaea.json,"Water lily: 3-6 in. tall, 4-8 ft. wide; Lotus: 3-6 ft. tall, 3-4 ft. wide",Summer,"Water lily: blue, purple, yellow, red, white, pink, orange; Lotus: white, pink, yellow",
Snail vine,Cochliasanthus caracalla,Fabaceae,"Perennial, vine",,"Full, partial","Well drained, fertile","Acidic, neutral",9-11 (USDA),Central and South America,https://www.thespruce.com/thmb/gT2NQ-LSxB0q26yY-Zwx3xj1n8M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/growing-and-caring-for-snapdragons-1402915-01-613dd4c0f9ee4232a743a7531b220eef.jpg,Snail Vine Cochliasanthus caracalla.json,15-20 ft. long,"Summer, fall","White, pink, purple",
"Beet, beetroot",Beta vulgaris,Amaranthaceae,"Annual, vegetable","12–18 in. tall, 18–24 in. wide","Full sun, part sun","Loamy, moist, well-drained","Acidic, neutral (6.0–7.0)",2–11 (USDA),Europe,https://www.thespruce.com/thmb/dXumiQpSDSmEG0-OmUN-uxiBhow=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/beefsteak-tomatoes-care-5189062-02-ff21a23911cc44a88c860763d7a7163c.jpg,Beet Beta vulgaris.json,"12–18 in. tall, 18–24 in. wide",Seasonal,,
"St. Augustine grass, buffalo grass, carpet grass, couchgrass, quickgrass, wiregrass, mission grass, pimento grass, Charleston grass",Stenotaphrum secundatum,Poaceae,"Herbaceous, perennial grass",,Full sun to partial shade,Well-drained,6 to 7.5,"7 to 12, USDA","The Caribbean, South America, southeastern U.S. in the New World; Africa and Asia in the Old World",https://www.thespruce.com/thmb/nPPa7mQxj1dArlrxZ6RzxC_3zFg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/grow-astrophytum-cacti-1902957-23-efd7b0066dd74783a41148eb6878a60f.jpg,St. Augustine Grass Stenotaphrum secundatum.json,6 to 12 in. tall,,,
"Black chokeberry, aronia berry, aronia, chokeberry",Aronia melanocarpa,Rosaceae,Shrub,,"Full, partial",Well-drained,Acidic,3-8 (USDA),North America,https://www.thespruce.com/thmb/gKTEAUu59-TpLOSfViTdQrq_4fs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/witch-hazel-shrubs-2132734-hero-3e030155ebc041c48c61003651e4a458.jpg,Aronia Aronia melanocarpa.json,3–6 ft. tall and wide,Spring,White,
"Zebra grass, maiden grass, Chinese silvergrass",Miscanthus sinensis 'Zebrinus',Poaceae,Ornamental grass,,Full,"Chalk, clay, loam, sand",Neutral,5-9 (USDA),Japan,https://www.thespruce.com/thmb/0GZ3XtJ11t9tXwQI6CjzJiXO_zg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/zygopetalum-orchid-growing-guide-5222908-hero-6f56fb9c229b43d5933e2e7b95430a16.jpg,Zebra Grass Miscanthus sinensis 'zebrinus'.json,"7 ft. tall, 3-5 ft. wide",Late summer,Silvery white,
"Zebra plant, zebrina Alocasia, tiger taro (gabing tigre)",Alocasia zebrina,Araceae,"Perennial, bulb",,Partial,Moist but well-draining,"Acidic, neutral","10-11, USA",Asia,https://www.thespruce.com/thmb/Hf3Z-bt5GU2IcoyCwQjj4RaGyKY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/alocasia-zebrina-hero-eb88de064d1a451b82b8caeee6167422.jpg,Alocasia Zebrina Alocasia Zebrina.json,"3 ft. tall (indoors), 3 ft. wide (indoors)","Spring, summer","Green, white",Toxic to pets
"Common Duckweed, Lesser Duckweed","Lemna minor (Previously known as Lemna cyclostasa, Lemna minima)",,Aquatic plant,,Full sun,,Neutral (6.0-8.0),"4-10, USDA","Central America, North America except Hawaii and South Carolina",https://www.thespruce.com/thmb/v4fEf-K5qFDYge02d4zvW4k6IIk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/duckweed-plant-profile-5181229-hero-d284163649d144a898da29333d4a0d9d.jpg,Duckweed Lemna minor.json,"Starts 1/16 to 1/8 of an inch long, rapidly spreads, potentially invasive",Summer (if it blooms),Green,
